year,khoi,diem_moc,percentile,count_greater_equal,top_percent,higher_than_count
2025,D1,29.0,99.9997148185961,1,0.0002851814038962175,350653
2025,D1,28.5,99.99942963719222,2,0.0005703628077782241,350652
2025,D1,28.25,99.99914445578833,3,0.0008555442116744416,350651
2025,D1,28.0,99.99600746034552,14,0.003992539654475991,350640
2025,D1,27.75,99.99230010209494,27,0.007699897905055764,350627
2025,D1,27.5,99.98146320874707,65,0.018536791252927287,350588
2025,D1,27.25,99.9615005104747,135,0.03849948952529303,350519
2025,D1,27.0,99.93184164447004,239,0.06815835552995964,350415
2025,D1,26.75,99.88193489878911,414,0.1180651012108882,350240
2025,D1,26.5,99.82090607835644,628,0.1790939216435561,350026
2025,D1,26.25,99.72508512664906,964,0.27491487335093723,349690
2025,D1,26.0,99.59475722507086,1421,0.4052427749291354,349233
2025,D1,25.75,99.43163346204521,1993,0.5683665379547875,348661
2025,D1,25.5,99.20063652489348,2803,0.7993634751065173,347851
2025,D1,25.25,98.92172911188807,3781,1.0782708881119305,346873
2025,D1,25.0,98.57722997598772,4989,1.42277002401228,345665
2025,D1,24.75,98.16827984280802,6423,1.831720157191981,344231
2025,D1,24.5,97.6766271024999,8147,2.323372897500093,342507
2025,D1,24.25,97.10056066664005,10167,2.8994393333599504,340487
2025,D1,24.0,96.43466208855453,12502,3.565337911445468,338152
2025,D1,23.75,95.63929115310249,15291,4.360708846897509,335363
2025,D1,23.5,94.75693988946368,18385,5.2430601105363195,332268
2025,D1,23.25,93.72714984001324,21996,6.27285015998676,328658
2025,D1,23.0,92.58699458725695,25994,7.413005412743047,324660
2025,D1,22.75,91.2939821020151,30528,8.706017897984907,320126
2025,D1,22.5,89.8589492776355,35560,10.141050722364497,315094
2025,D1,22.25,88.29729590992831,41036,11.702704090071691,309618
2025,D1,22.0,86.571092872176,47089,13.428907127824004,303565
2025,D1,21.75,84.68290679701357,53710,15.317093202986428,296943
2025,D1,21.5,82.66981126694691,60769,17.33018873305309,289885
2025,D1,21.25,80.50100669035574,68374,19.498993309644263,282280
2025,D1,21.0,78.14227129877315,76645,21.857728701226847,274009
2025,D1,20.75,75.61641960451043,85502,24.383580395489574,265152
2025,D1,20.5,72.9767805300952,94758,27.023219469904802,255896
2025,D1,20.25,70.14721064068854,104680,29.85278935931146,245974
2025,D1,20.0,67.24577503750136,114854,32.75422496249864,235800
2025,D1,19.75,64.1815008526924,125599,35.818499147307605,225055
2025,D1,19.5,61.083290080820404,136463,38.916709919179596,214191
2025,D1,19.25,57.858743947024706,147770,42.141256052975294,202884
2025,D1,19.0,54.56518391348737,159319,45.43481608651263,191335
2025,D1,18.75,51.228846669366376,171018,48.771153330633624,179635
2025,D1,18.5,47.86998009433801,182796,52.13001990566199,167858
2025,D1,18.25,44.50113217017345,194609,55.49886782982655,156045
2025,D1,18.0,41.18105026607425,206251,58.81894973392575,144403
2025,D1,17.75,37.94395615050733,217602,62.05604384949267,133052
2025,D1,17.5,34.72055074232719,228905,65.27944925767281,121748
2025,D1,17.25,31.642302668727577,239699,68.35769733127242,110955
2025,D1,17.0,28.633068494869583,250251,71.36693150513042,100403
2025,D1,16.75,25.765854660149323,260305,74.23414533985067,90349
2025,D1,16.5,23.06490158389752,269776,76.93509841610248,80878
2025,D1,16.25,20.50939102363013,278737,79.49060897636987,71917
2025,D1,16.0,18.150085269239764,287010,81.84991473076023,63644
2025,D1,15.75,15.896866997096854,294911,84.10313300290315,55743
2025,D1,15.5,13.806487306575713,302241,86.19351269342428,48413
2025,D1,15.25,11.952237818476332,308743,88.04776218152367,41911
2025,D1,15.0,10.300752308543466,314534,89.69924769145653,36120
2025,D1,14.75,8.796135221614469,319810,91.20386477838554,30844
2025,D1,14.5,7.446086455594404,324544,92.55391354440559,26110
2025,D1,14.25,6.286538867373537,328610,93.71346113262646,22044
2025,D1,14.0,5.282415144273273,332131,94.71758485572673,18523
2025,D1,13.75,4.414893313636805,335173,95.58510668636319,15481
2025,D1,13.5,3.6577366863061593,337828,96.34226331369383,12826
2025,D1,13.25,2.9775790380260885,340213,97.0224209619739,10441
2025,D1,13.0,2.43858618467207,342103,97.56141381532792,8551
2025,D1,12.75,1.9711738636946963,343742,98.0288261363053,6912
2025,D1,12.5,1.5824716101912426,345105,98.41752838980875,5549
2025,D1,12.25,1.2770423266239654,346176,98.72295767337603,4478
2025,D1,12.0,1.0272234168154364,347052,98.97277658318457,3602
2025,D1,11.75,0.8161891779360851,347792,99.18381082206392,2862
2025,D1,11.5,0.6393767075236558,348412,99.36062329247635,2242
2025,D1,11.25,0.5053414476948787,348882,99.49465855230513,1772
2025,D1,11.0,0.39012816052290866,349286,99.6098718394771,1368
2025,D1,10.75,0.30457373935560406,349586,99.6954262606444,1067
2025,D1,10.5,0.23698574663343352,349823,99.76301425336656,831
2025,D1,10.25,0.17994946585523053,350023,99.82005053414477,631
2025,D1,10.0,0.13688707386768723,350174,99.86311292613232,479
2025,D1,9.75,0.10323566820854746,350292,99.89676433179146,362
2025,D1,9.5,0.07614343483890101,350387,99.9238565651611,266
2025,D1,9.25,0.058747369201549104,350448,99.94125263079845,206
2025,D1,9.0,0.04277721058365226,350504,99.95722278941635,150
2025,D1,8.75,0.03450694987081282,350533,99.96549305012918,120
2025,D1,8.5,0.028232958985210492,350555,99.97176704101479,99
2025,D1,8.25,0.02195896809960816,350577,99.97804103190039,77
2025,D1,8.0,0.015970158617896846,350598,99.98402984138211,56
2025,D1,7.75,0.012833163175095677,350609,99.9871668368249,45
2025,D1,7.5,0.009125804924512482,350622,99.99087419507549,32
2025,D1,7.25,0.007414716501166391,350628,99.99258528349884,25
2025,D1,7.0,0.005988809481711316,350633,99.9940111905183,20
2025,D1,6.75,0.003992539654474212,350640,99.99600746034552,14
2025,D1,6.5,0.002851814038910151,350644,99.9971481859611,10
2025,D1,6.25,0.0022814512311281204,350646,99.99771854876887,8
2025,D1,6.0,0.001996269827237106,350647,99.99800373017277,7
2025,D1,5.75,0.0014259070194550755,350649,99.99857409298055,5
2025,D1,5.5,0.0008555442116730452,350651,99.99914445578833,3
2025,D1,5.0,0.0005703628077820301,350652,99.99942963719222,2
2025,D1,4.5,0.00028518140389101505,350653,99.9997148185961,1
2025,D1,3.5,0.0,350654,100.0,0
